pref,city,sex,count
北海道,浦河郡浦河町,男,5812
北海道,浦河郡浦河町,女,5908
北海道,様似郡様似町,計,4087
北海道,様似郡様似町,男,1949
北海道,様似郡様似町,女,2138
北海道,幌泉郡えりも町,計,4428
北海道,幌泉郡えりも町,男,2245
北海道,幌泉郡えりも町,女,2183
北海道,日高郡新ひだか町,計,21388
北海道,日高郡新ひだか町,男,10422
北海道,日高郡新ひだか町,女,10966
北海道,河東郡音更町,計,43483
北海道,河東郡音更町,男,20610
北海道,河東郡音更町,女,22873
北海道,河東郡士幌町,計,5946
北海道,河東郡士幌町,男,2932
北海道,河東郡士幌町,女,3014
北海道,河東郡上士幌町,計,4935
北海道,河東郡上士幌町,男,2417
北海道,河東郡上士幌町,女,2518
北海道,河東郡鹿追町,計,5228
北海道,河東郡鹿追町,男,2575
北海道,河東郡鹿追町,女,2653
北海道,上川郡新得町,計,5668
北海道,上川郡新得町,男,2797
北海道,上川郡新得町,女,2871
北海道,上川郡清水町,計,9157
北海道,上川郡清水町,男,4511
北海道,上川郡清水町,女,4646
北海道,河西郡芽室町,計,18181
北海道,河西郡芽室町,男,8690
北海道,河西郡芽室町,女,9491
北海道,河西郡中札内村,計,3913
北海道,河西郡中札内村,男,1907
北海道,河西郡中札内村,女,2006
北海道,河西郡更別村,計,3177
北海道,河西郡更別村,男,1564
北海道,河西郡更別村,女,1613
北海道,広尾郡大樹町,計,5423
北海道,広尾郡大樹町,男,2706
北海道,広尾郡大樹町,女,2717
北海道,広尾郡広尾町,計,6359
北海道,広尾郡広尾町,男,3077
北海道,広尾郡広尾町,女,3282
北海道,中川郡幕別町,計,26273
北海道,中川郡幕別町,男,12540
北海道,中川郡幕別町,女,13733
北海道,中川郡池田町,計,6288
北海道,中川郡池田町,男,2961
北海道,中川郡池田町,女,3327
北海道,中川郡豊頃町,計,3031
北海道,中川郡豊頃町,男,1474
北海道,中川郡豊頃町,女,1557
北海道,中川郡本別町,計,6545
北海道,中川郡本別町,男,3222
北海道,中川郡本別町,女,3323
北海道,足寄郡足寄町,計,6545
北海道,足寄郡足寄町,男,3216
北海道,足寄郡足寄町,女,3329
北海道,足寄郡陸別町,計,2279
北海道,足寄郡陸別町,男,1143
北海道,足寄郡陸別町,女,1136
北海道,十勝郡浦幌町,計,4416
北海道,十勝郡浦幌町,男,2143
北海道,十勝郡浦幌町,女,2273
北海道,釧路郡釧路町,計,19152
北海道,釧路郡釧路町,男,9159
北海道,釧路郡釧路町,女,9993
北海道,厚岸郡厚岸町,計,8808
北海道,厚岸郡厚岸町,男,4171
北海道,厚岸郡厚岸町,女,4637
北海道,厚岸郡浜中町,計,5499
北海道,厚岸郡浜中町,男,2710
北海道,厚岸郡浜中町,女,2789
北海道,川上郡標茶町,計,7287
北海道,川上郡標茶町,男,3511
北海道,川上郡標茶町,女,3776
北海道,川上郡弟子屈町,計,6840
北海道,川上郡弟子屈町,男,3288
北海道,川上郡弟子屈町,女,3552
北海道,阿寒郡鶴居村,計,2481
北海道,阿寒郡鶴居村,男,1244
北海道,阿寒郡鶴居村,女,1237
北海道,白糠郡白糠町,計,7391
北海道,白糠郡白糠町,男,3467
北海道,白糠郡白糠町,女,3924
北海道,野付郡別海町,計,14558
北海道,野付郡別海町,男,7403
